Australia, Exposure to risk (period 1x10), 	Last modified: 15 Mar 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1921-1929        0            570597.82       594760.88      1165358.70
1921-1929        1            559186.49       580183.13      1139369.63
1921-1929        2            553329.77       573211.71      1126541.48
1921-1929        3            549287.36       568762.26      1118049.62
1921-1929        4            545983.14       565060.76      1111043.90
1921-1929        5            542789.17       562237.36      1105026.52
1921-1929        6            540999.87       560478.85      1101478.72
1921-1929        7            538867.41       557358.73      1096226.14
1921-1929        8            534668.88       551960.73      1086629.61
1921-1929        9            530537.22       545900.47      1076437.69
1921-1929       10            527447.15       541645.43      1069092.58
1921-1929       11            525000.01       538247.95      1063247.96
1921-1929       12            520787.81       533426.26      1054214.07
1921-1929       13            513847.45       525685.92      1039533.38
1921-1929       14            504837.51       516317.27      1021154.77
1921-1929       15            493000.95       506649.11       999650.06
1921-1929       16            480305.69       496965.57       977271.26
1921-1929       17            467958.71       486795.80       954754.51
1921-1929       18            456803.30       477265.31       934068.61
1921-1929       19            448076.09       469361.78       917437.87
1921-1929       20            441323.27       462125.85       903449.11
1921-1929       21            435592.13       454935.44       890527.57
1921-1929       22            430524.55       447786.61       878311.16
1921-1929       23            426696.87       440789.29       867486.16
1921-1929       24            424992.38       434510.50       859502.89
1921-1929       25            424615.75       429603.23       854218.97
1921-1929       26            425463.78       426270.01       851733.80
1921-1929       27            427096.31       423795.04       850891.35
1921-1929       28            428223.64       422049.52       850273.15
1921-1929       29            428353.29       420748.39       849101.67
1921-1929       30            427344.41       419669.13       847013.55
1921-1929       31            425845.13       419440.29       845285.42
1921-1929       32            423942.06       420789.94       844732.00
1921-1929       33            420300.27       421568.85       841869.12
1921-1929       34            415048.22       420359.23       835407.45
1921-1929       35            408475.23       417788.11       826263.34
1921-1929       36            400491.55       413088.95       813580.49
1921-1929       37            390509.88       406153.82       796663.70
1921-1929       38            379281.67       396470.46       775752.13
1921-1929       39            368093.31       386357.03       754450.34
1921-1929       40            357633.97       375866.72       733500.69
1921-1929       41            346211.56       364590.11       710801.67
1921-1929       42            334217.69       352881.93       687099.61
1921-1929       43            321712.84       341174.95       662887.80
1921-1929       44            309516.25       329087.55       638603.79
1921-1929       45            298009.64       317260.20       615269.84
1921-1929       46            287726.49       306149.95       593876.44
1921-1929       47            278178.95       296061.40       574240.36
1921-1929       48            269106.21       286426.87       555533.08
1921-1929       49            260015.09       277838.57       537853.67
1921-1929       50            251307.27       269414.96       520722.23
1921-1929       51            243827.52       262298.54       506126.06
1921-1929       52            237058.03       255962.95       493020.98
1921-1929       53            230339.58       249671.05       480010.63
1921-1929       54            223071.61       243695.34       466766.95
1921-1929       55            216125.69       237594.39       453720.08
1921-1929       56            209252.00       232080.32       441332.32
1921-1929       57            202848.65       226507.63       429356.28
1921-1929       58            196377.40       220128.42       416505.82
1921-1929       59            189035.44       213063.84       402099.28
1921-1929       60            181856.45       205010.19       386866.64
1921-1929       61            174009.93       196854.98       370864.92
1921-1929       62            165728.38       188673.32       354401.70
1921-1929       63            157428.82       179267.34       336696.17
1921-1929       64            148964.01       168892.65       317856.65
1921-1929       65            139828.27       157836.20       297664.47
1921-1929       66            129985.60       146494.83       276480.44
1921-1929       67            119843.93       134863.18       254707.11
1921-1929       68            109738.65       122427.60       232166.25
1921-1929       69             99517.75       110433.02       209950.77
1921-1929       70             90033.73        98759.07       188792.80
1921-1929       71             81053.79        88178.25       169232.04
1921-1929       72             72992.69        78666.39       151659.08
1921-1929       73             64767.77        68883.85       133651.61
1921-1929       74             57488.53        60207.14       117695.66
1921-1929       75             51341.13        52475.63       103816.75
1921-1929       76             46033.95        45988.93        92022.88
1921-1929       77             41585.18        40536.93        82122.11
